"Encoding1"	"Encoding2"	"Adjusted_RV"
"NAC"	"CKSNAP"	0.998390579648708
"NAC"	"Subsequence"	0.157999237013556
"NAC"	"ASDC"	0.989380364570233
"NAC"	"Z_curve_9bit"	0.992766106556935
"NAC"	"Z_curve_12bit"	0.967914331549085
"NAC"	"Z_curve_36bit"	0.961853896926834
"NAC"	"Z_curve_48bit"	0.96206852182703
"NAC"	"Z_curve_144bit"	0.953457520712224
"NAC"	"PseEIIP"	0.986678047149548
"NAC"	"DAC"	0.774913957300887
"NAC"	"DCC"	0.713322761882626
"NAC"	"DACC"	0.740896233822168
"NAC"	"TAC"	0.900520045170167
"NAC"	"TCC"	0.909311295545041
"NAC"	"TACC"	0.923356123063395
"NAC"	"Moran"	0.353029248392234
"NAC"	"Geary"	0.352974899236658
"NAC"	"NMBroto"	0.761973983953219
"NAC"	"DPCP"	0.982631399757893
"NAC"	"TPCP"	0.994077525130704
"NAC"	"MMI"	0.763071318800762
"NAC"	"PseDNC"	0.989328049965317
"NAC"	"PseKNC"	0.98077595919854
"NAC"	"PCPseDNC"	0.989328049965317
"NAC"	"PCPseTNC"	0.967305729479679
"NAC"	"SCPseDNC"	0.988020097330712
"NAC"	"SCPseTNC"	0.981213172474387
"NAC"	"Mismatch"	0.0649170212989008
"NAC"	"Kmer-1"	1
"NAC"	"Kmer-2"	0.989380364570233
"NAC"	"Kmer-3"	0.981139413119917
"NAC"	"Kmer-4"	0.964866242023864
"NAC"	"Kmer-5"	0.944418440534493
"NAC"	"Kmer-6"	0.923665609499305
"NAC"	"Kmer-7"	0.891416631733692
"NAC"	"RCKmer-1"	0.998784619908958
"NAC"	"RCKmer-2"	0.993047507808297
"NAC"	"RCKmer-3"	0.980124393743343
"NAC"	"RCKmer-4"	0.972622856918566
"NAC"	"RCKmer-5"	0.943878937419443
"NAC"	"RCKmer-6"	0.930764210011962
"NAC"	"RCKmer-7"	0.892797790041476
"CKSNAP"	"Subsequence"	0.158027769664223
"CKSNAP"	"ASDC"	0.995399865027295
"CKSNAP"	"Z_curve_9bit"	0.991170804874232
"CKSNAP"	"Z_curve_12bit"	0.979515661900779
"CKSNAP"	"Z_curve_36bit"	0.973386131639711
"CKSNAP"	"Z_curve_48bit"	0.975190053961414
"CKSNAP"	"Z_curve_144bit"	0.966470342100507
"CKSNAP"	"PseEIIP"	0.993712091477489
"CKSNAP"	"DAC"	0.800966989948725
"CKSNAP"	"DCC"	0.739783099742816
"CKSNAP"	"DACC"	0.767444742652397
"CKSNAP"	"TAC"	0.890311527755568
"CKSNAP"	"TCC"	0.909487326947016
"CKSNAP"	"TACC"	0.91654850787272
"CKSNAP"	"Moran"	0.388167404514919
"CKSNAP"	"Geary"	0.388113862268514
"CKSNAP"	"NMBroto"	0.789002022947676
"CKSNAP"	"DPCP"	0.989931541998008
"CKSNAP"	"TPCP"	0.9950009725308
"CKSNAP"	"MMI"	0.790108297881485
"CKSNAP"	"PseDNC"	0.995433468215196
"CKSNAP"	"PseKNC"	0.989723205797036
"CKSNAP"	"PCPseDNC"	0.995433468215196
"CKSNAP"	"PCPseTNC"	0.978484917750325
"CKSNAP"	"SCPseDNC"	0.994483297375061
"CKSNAP"	"SCPseTNC"	0.990031994570674
"CKSNAP"	"Mismatch"	0.064467326172494
"CKSNAP"	"Kmer-1"	0.998390579648708
"CKSNAP"	"Kmer-2"	0.995399865027295
"CKSNAP"	"Kmer-3"	0.989925296501874
"CKSNAP"	"Kmer-4"	0.977712006064618
"CKSNAP"	"Kmer-5"	0.960927324689432
"CKSNAP"	"Kmer-6"	0.943068554102505
"CKSNAP"	"Kmer-7"	0.914252206507174
"CKSNAP"	"RCKmer-1"	0.997220973846848
"CKSNAP"	"RCKmer-2"	0.996747134948086
"CKSNAP"	"RCKmer-3"	0.988895697446427
"CKSNAP"	"RCKmer-4"	0.983610281837904
"CKSNAP"	"RCKmer-5"	0.96033309624536
"CKSNAP"	"RCKmer-6"	0.949208317169343
"CKSNAP"	"RCKmer-7"	0.91557456564592
"Subsequence"	"ASDC"	0.156803726107699
"Subsequence"	"Z_curve_9bit"	0.156789890528322
"Subsequence"	"Z_curve_12bit"	0.153761231132841
"Subsequence"	"Z_curve_36bit"	0.152718134894804
"Subsequence"	"Z_curve_48bit"	0.153471330717255
"Subsequence"	"Z_curve_144bit"	0.151955508776182
"Subsequence"	"PseEIIP"	0.157343050521335
"Subsequence"	"DAC"	0.123280324346687
"Subsequence"	"DCC"	0.115286691089681
"Subsequence"	"DACC"	0.119062353977148
"Subsequence"	"TAC"	0.151199864501704
"Subsequence"	"TCC"	0.147738988339656
"Subsequence"	"TACC"	0.153310756710819
"Subsequence"	"Moran"	0.0619047121553901
"Subsequence"	"Geary"	0.0619178894790358
"Subsequence"	"NMBroto"	0.121066264898389
"Subsequence"	"DPCP"	0.155070247905426
"Subsequence"	"TPCP"	0.159919014307745
"Subsequence"	"MMI"	0.119184343981995
"Subsequence"	"PseDNC"	0.156858113579724
"Subsequence"	"PseKNC"	0.155922459442244
"Subsequence"	"PCPseDNC"	0.156858113579724
"Subsequence"	"PCPseTNC"	0.152440296731534
"Subsequence"	"SCPseDNC"	0.156451279349303
"Subsequence"	"SCPseTNC"	0.155828777395196
"Subsequence"	"Mismatch"	0.980240051504162
"Subsequence"	"Kmer-1"	0.157999237013556
"Subsequence"	"Kmer-2"	0.156803726107699
"Subsequence"	"Kmer-3"	0.155884978366505
"Subsequence"	"Kmer-4"	0.15323876440205
"Subsequence"	"Kmer-5"	0.149962946636558
"Subsequence"	"Kmer-6"	0.14659177734289
