"Encoding1"	"Encoding2"	"Adjusted_RV"
"NAC"	"GC"	0.998784616513208
"CKSNAP"	"GC"	0.997220966316102
"Subsequence"	"GC"	0.157756543316939
"ASDC"	"GC"	0.988410724937416
"Z_curve_9bit"	"GC"	0.991557001991708
"Z_curve_12bit"	"GC"	0.967140485135032
"Z_curve_36bit"	"GC"	0.961081503053006
"Z_curve_48bit"	"GC"	0.960701764651171
"Z_curve_144bit"	"GC"	0.952098790449397
"PseEIIP"	"GC"	0.985422371850709
"DAC"	"GC"	0.775839582127695
"DCC"	"GC"	0.710505963068902
"DACC"	"GC"	0.739354351355351
"TAC"	"GC"	0.901426490191646
"TCC"	"GC"	0.907371821028169
"TACC"	"GC"	0.92328902473678
"Moran"	"GC"	0.353438054089862
"Geary"	"GC"	0.353383617833866
"NMBroto"	"GC"	0.762883789095963
"DPCP"	"GC"	0.982993119224775
"TPCP"	"GC"	0.993656324409149
"MMI"	"GC"	0.763074328473099
"PseDNC"	"GC"	0.988366410142919
"PseKNC"	"GC"	0.97966750927415
"PCPseDNC"	"GC"	0.988366410142919
"PCPseTNC"	"GC"	0.966914603663698
"SCPseDNC"	"GC"	0.987082117137987
"SCPseTNC"	"GC"	0.980127461374375
"Mismatch"	"GC"	0.0648681185725861
"Kmer-1"	"GC"	0.998784616513208
"Kmer-2"	"GC"	0.988410724937416
"Kmer-3"	"GC"	0.980013524684568
"Kmer-4"	"GC"	0.963693634762588
"Kmer-5"	"GC"	0.943236428576632
"Kmer-6"	"GC"	0.922455342057252
"Kmer-7"	"GC"	0.890242263224531
"RCKmer-1"	"GC"	1.00000000000406
"RCKmer-2"	"GC"	0.994252626074235
"RCKmer-3"	"GC"	0.981310776881361
"RCKmer-4"	"GC"	0.973798078798316
"RCKmer-5"	"GC"	0.945015540164704
"RCKmer-6"	"GC"	0.93188233026045
"RCKmer-7"	"GC"	0.893863836603212
