"Encoding1"	"Encoding2"	"Adjusted_RV"
"NAC"	"CKSNAP"	0.00160942035129186
"NAC"	"Subsequence"	0.842000762986444
"NAC"	"ASDC"	0.010619635429767
"NAC"	"Z_curve_9bit"	0.00723389344306535
"NAC"	"Z_curve_12bit"	0.0320856684509145
"NAC"	"Z_curve_36bit"	0.038146103073166
"NAC"	"Z_curve_48bit"	0.0379314781729698
"NAC"	"Z_curve_144bit"	0.046542479287776
"NAC"	"PseEIIP"	0.0133219528504519
"NAC"	"DAC"	0.225086042699113
"NAC"	"DCC"	0.286677238117374
"NAC"	"DACC"	0.259103766177832
"NAC"	"TAC"	0.0994799548298329
"NAC"	"TCC"	0.090688704454959
"NAC"	"TACC"	0.0766438769366049
"NAC"	"Moran"	0.646970751607766
"NAC"	"Geary"	0.647025100763342
"NAC"	"NMBroto"	0.238026016046781
"NAC"	"DPCP"	0.0173686002421065
"NAC"	"TPCP"	0.00592247486929609
"NAC"	"MMI"	0.236928681199238
"NAC"	"PseDNC"	0.0106719500346827
"NAC"	"PseKNC"	0.0192240408014602
"NAC"	"PCPseDNC"	0.0106719500346827
"NAC"	"PCPseTNC"	0.0326942705203207
"NAC"	"SCPseDNC"	0.0119799026692877
"NAC"	"SCPseTNC"	0.0187868275256127
"NAC"	"Mismatch"	0.935082978701099
"NAC"	"Kmer-1"	0
"NAC"	"Kmer-2"	0.010619635429767
"NAC"	"Kmer-3"	0.0188605868800827
"NAC"	"Kmer-4"	0.0351337579761356
"NAC"	"Kmer-5"	0.0555815594655068
"NAC"	"Kmer-6"	0.0763343905006947
"NAC"	"Kmer-7"	0.108583368266308
"NAC"	"RCKmer-1"	0.00121538009104183
"NAC"	"RCKmer-2"	0.00695249219170324
"NAC"	"RCKmer-3"	0.019875606256657
"NAC"	"RCKmer-4"	0.0273771430814339
"NAC"	"RCKmer-5"	0.0561210625805573
"NAC"	"RCKmer-6"	0.0692357899880376
"NAC"	"RCKmer-7"	0.107202209958524
"NAC"	"GC"	0.00121538348679162
"CKSNAP"	"Subsequence"	0.841972230335777
"CKSNAP"	"ASDC"	0.00460013497270484
"CKSNAP"	"Z_curve_9bit"	0.00882919512576819
"CKSNAP"	"Z_curve_12bit"	0.0204843380992212
"CKSNAP"	"Z_curve_36bit"	0.026613868360289
"CKSNAP"	"Z_curve_48bit"	0.0248099460385863
"CKSNAP"	"Z_curve_144bit"	0.0335296578994932
"CKSNAP"	"PseEIIP"	0.00628790852251138
"CKSNAP"	"DAC"	0.199033010051275
"CKSNAP"	"DCC"	0.260216900257184
"CKSNAP"	"DACC"	0.232555257347603
"CKSNAP"	"TAC"	0.109688472244432
"CKSNAP"	"TCC"	0.0905126730529836
"CKSNAP"	"TACC"	0.0834514921272804
"CKSNAP"	"Moran"	0.611832595485081
"CKSNAP"	"Geary"	0.611886137731486
"CKSNAP"	"NMBroto"	0.210997977052324
"CKSNAP"	"DPCP"	0.0100684580019922
"CKSNAP"	"TPCP"	0.00499902746919956
"CKSNAP"	"MMI"	0.209891702118515
"CKSNAP"	"PseDNC"	0.0045665317848036
"CKSNAP"	"PseKNC"	0.0102767942029645
"CKSNAP"	"PCPseDNC"	0.0045665317848036
"CKSNAP"	"PCPseTNC"	0.0215150822496754
"CKSNAP"	"SCPseDNC"	0.00551670262493864
"CKSNAP"	"SCPseTNC"	0.00996800542932574
"CKSNAP"	"Mismatch"	0.935532673827506
"CKSNAP"	"Kmer-1"	0.00160942035129186
"CKSNAP"	"Kmer-2"	0.00460013497270484
"CKSNAP"	"Kmer-3"	0.0100747034981258
"CKSNAP"	"Kmer-4"	0.0222879939353823
"CKSNAP"	"Kmer-5"	0.0390726753105683
"CKSNAP"	"Kmer-6"	0.0569314458974949
"CKSNAP"	"Kmer-7"	0.0857477934928256
"CKSNAP"	"RCKmer-1"	0.00277902615315229
"CKSNAP"	"RCKmer-2"	0.00325286505191424
"CKSNAP"	"RCKmer-3"	0.0111043025535729
"CKSNAP"	"RCKmer-4"	0.0163897181620959
"CKSNAP"	"RCKmer-5"	0.0396669037546402
"CKSNAP"	"RCKmer-6"	0.050791682830657
"CKSNAP"	"RCKmer-7"	0.0844254343540801
"CKSNAP"	"GC"	0.0027790336838982
"Subsequence"	"ASDC"	0.843196273892301
"Subsequence"	"Z_curve_9bit"	0.843210109471678
"Subsequence"	"Z_curve_12bit"	0.846238768867159
"Subsequence"	"Z_curve_36bit"	0.847281865105196
"Subsequence"	"Z_curve_48bit"	0.846528669282745
"Subsequence"	"Z_curve_144bit"	0.848044491223818
"Subsequence"	"PseEIIP"	0.842656949478665
"Subsequence"	"DAC"	0.876719675653313
"Subsequence"	"DCC"	0.88471330891032
"Subsequence"	"DACC"	0.880937646022852
"Subsequence"	"TAC"	0.848800135498296
"Subsequence"	"TCC"	0.852261011660344
"Subsequence"	"TACC"	0.846689243289181
"Subsequence"	"Moran"	0.93809528784461
"Subsequence"	"Geary"	0.938082110520964
"Subsequence"	"NMBroto"	0.87893373510161
"Subsequence"	"DPCP"	0.844929752094574
"Subsequence"	"TPCP"	0.840080985692255
"Subsequence"	"MMI"	0.880815656018005
"Subsequence"	"PseDNC"	0.843141886420276
"Subsequence"	"PseKNC"	0.844077540557756
"Subsequence"	"PCPseDNC"	0.843141886420276
"Subsequence"	"PCPseTNC"	0.847559703268466
"Subsequence"	"SCPseDNC"	0.843548720650697
