"Encoding1"	"Encoding2"	"Adjusted_RV"
"NAC"	"GC"	0.9972142735923
"CKSNAP"	"GC"	0.99610158027499
"Subsequence"	"GC"	0.253475041160647
"ASDC"	"GC"	0.990877109139093
"Z_curve_9bit"	"GC"	0.974331166926455
"Z_curve_12bit"	"GC"	0.97610752039257
"Z_curve_36bit"	"GC"	0.954206484394596
"Z_curve_48bit"	"GC"	0.966527991548341
"Z_curve_144bit"	"GC"	0.936331844198128
"PseEIIP"	"GC"	0.986825642015847
"DAC"	"GC"	0.868112254913083
"DCC"	"GC"	0.782630887452734
"DACC"	"GC"	0.822699768598155
"TAC"	"GC"	0.863209979204945
"TCC"	"GC"	0.771454203011274
"TACC"	"GC"	0.873927409136212
"Moran"	"GC"	0.437743821941007
"Geary"	"GC"	0.438019280692314
"NMBroto"	"GC"	0.860165483595747
"DPCP"	"GC"	0.986019490936678
"TPCP"	"GC"	0.988714689296892
"MMI"	"GC"	0.740557578068805
"PseDNC"	"GC"	0.990587811532543
"PseKNC"	"GC"	0.98390488762528
"PCPseDNC"	"GC"	0.990587811532543
"PCPseTNC"	"GC"	0.975787761042238
"SCPseDNC"	"GC"	0.990263660309535
"SCPseTNC"	"GC"	0.984547756678136
"Mismatch"	"GC"	0.102566090765692
"Kmer-1"	"GC"	0.9972142735923
"Kmer-2"	"GC"	0.990877109139093
"Kmer-3"	"GC"	0.98446792573418
"Kmer-4"	"GC"	0.97394273973457
"Kmer-5"	"GC"	0.960293997429379
"Kmer-6"	"GC"	0.943249049253201
"Kmer-7"	"GC"	0.910465800279469
"RCKmer-1"	"GC"	1.00000000000943
"RCKmer-2"	"GC"	0.995658001969463
"RCKmer-3"	"GC"	0.988047376919195
"RCKmer-4"	"GC"	0.982664726233511
"RCKmer-5"	"GC"	0.966075984065861
"RCKmer-6"	"GC"	0.955122992588442
"RCKmer-7"	"GC"	0.926637683411327
