"Encoding1"	"Encoding2"	"Adjusted_RV"
"NAC"	"GC"	0.99826892208575
"CKSNAP"	"GC"	0.996671879844649
"Subsequence"	"GC"	0.366361850637037
"ASDC"	"GC"	0.987730507520065
"Z_curve_9bit"	"GC"	0.990953273981147
"Z_curve_12bit"	"GC"	0.96592279763038
"Z_curve_36bit"	"GC"	0.959686080112779
"Z_curve_48bit"	"GC"	0.957828222967049
"Z_curve_144bit"	"GC"	0.949063096085185
"PseEIIP"	"GC"	0.983990380752228
"DAC"	"GC"	0.753551948596643
"DCC"	"GC"	0.6811842196915
"DACC"	"GC"	0.71309405463866
"TAC"	"GC"	0.905064713646406
"TCC"	"GC"	0.900229590571734
"TACC"	"GC"	0.926024089343445
"Moran"	"GC"	0.301965647447763
"Geary"	"GC"	0.30192713041039
"NMBroto"	"GC"	0.739222974719905
"DPCP"	"GC"	0.981549109222209
"TPCP"	"GC"	0.993174457054591
"MMI"	"GC"	0.748476751208087
"PseDNC"	"GC"	0.987753629829515
"PseKNC"	"GC"	0.978383606417859
"PCPseDNC"	"GC"	0.987753629829515
"PCPseTNC"	"GC"	0.965971965142604
"SCPseDNC"	"GC"	0.986281298520142
"SCPseTNC"	"GC"	0.979015831826845
"Mismatch"	"GC"	0.143536296108113
"Kmer-1"	"GC"	0.99826892208575
"Kmer-2"	"GC"	0.987730507520065
"Kmer-3"	"GC"	0.978684388591437
"Kmer-4"	"GC"	0.961388778626828
"Kmer-5"	"GC"	0.939735577264521
"Kmer-6"	"GC"	0.917707059414187
"Kmer-7"	"GC"	0.883565701963959
"RCKmer-1"	"GC"	1.00000000000094
"RCKmer-2"	"GC"	0.994516741529768
"RCKmer-3"	"GC"	0.980706502392902
"RCKmer-4"	"GC"	0.973028117489037
"RCKmer-5"	"GC"	0.942430792619386
"RCKmer-6"	"GC"	0.92861794219941
"RCKmer-7"	"GC"	0.888331364121607
