"Encoding1"	"Encoding2"	"Adjusted_RV"
"NAC"	"CKSNAP"	0.999634701703416
"NAC"	"Subsequence"	0.0911960331637908
"NAC"	"ASDC"	0.998249977650962
"NAC"	"Z_curve_9bit"	0.990255707828456
"NAC"	"Z_curve_12bit"	0.993633724576625
"NAC"	"Z_curve_36bit"	0.980252920473831
"NAC"	"Z_curve_48bit"	0.986582995839199
"NAC"	"Z_curve_144bit"	0.967115354095859
"NAC"	"PseEIIP"	0.994942149304536
"NAC"	"DAC"	0.902942435633462
"NAC"	"DCC"	0.737383998101159
"NAC"	"DACC"	0.812964156401606
"NAC"	"TAC"	0.937314849240969
"NAC"	"TCC"	0.88580456849458
"NAC"	"TACC"	0.943478850616821
"NAC"	"Moran"	0.307736049341101
"NAC"	"Geary"	0.308216406103289
"NAC"	"NMBroto"	0.891540231006343
"NAC"	"DPCP"	0.992344194686883
"NAC"	"TPCP"	0.988723300376326
"NAC"	"MMI"	0.881067371241272
"NAC"	"PseDNC"	0.997599739862327
"NAC"	"PseKNC"	0.994647578820599
"NAC"	"PCPseDNC"	0.997599739862327
"NAC"	"PCPseTNC"	0.994165954461053
"NAC"	"SCPseDNC"	0.998270996147027
"NAC"	"SCPseTNC"	0.995552911359743
"NAC"	"Mismatch"	0.0447324085101454
"NAC"	"Kmer-1"	1
"NAC"	"Kmer-2"	0.998249977650962
"NAC"	"Kmer-3"	0.995616810270705
"NAC"	"Kmer-4"	0.992827106916871
"NAC"	"Kmer-5"	0.989347723476192
"NAC"	"Kmer-6"	0.981663957228225
"NAC"	"Kmer-7"	0.943978368865192
"NAC"	"RCKmer-1"	0.994330254575372
"NAC"	"RCKmer-2"	0.992062911422703
"NAC"	"RCKmer-3"	0.990888932762856
"NAC"	"RCKmer-4"	0.989064176277924
"NAC"	"RCKmer-5"	0.98701816441119
"NAC"	"RCKmer-6"	0.983675325114334
"NAC"	"RCKmer-7"	0.971195673541035
"CKSNAP"	"Subsequence"	0.0911746634448638
"CKSNAP"	"ASDC"	0.998770233143474
"CKSNAP"	"Z_curve_9bit"	0.989907817726733
"CKSNAP"	"Z_curve_12bit"	0.994956336596701
"CKSNAP"	"Z_curve_36bit"	0.981584349285832
"CKSNAP"	"Z_curve_48bit"	0.989058124087574
"CKSNAP"	"Z_curve_144bit"	0.969595306956577
"CKSNAP"	"PseEIIP"	0.99655491042764
