"Encoding1"	"Encoding2"	"Adjusted_RV"
"NAC"	"GC"	0.994330095178439
"CKSNAP"	"GC"	0.993861958849051
"Subsequence"	"GC"	0.0895165991135878
"ASDC"	"GC"	0.992248555045723
"Z_curve_9bit"	"GC"	0.984589975887495
"Z_curve_12bit"	"GC"	0.987354623919617
"Z_curve_36bit"	"GC"	0.973967235260467
"Z_curve_48bit"	"GC"	0.977237212749637
"Z_curve_144bit"	"GC"	0.957856322609046
"PseEIIP"	"GC"	0.987015094018564
"DAC"	"GC"	0.908043007838357
"DCC"	"GC"	0.713919222171734
"DACC"	"GC"	0.797976842985145
"TAC"	"GC"	0.942111672246844
"TCC"	"GC"	0.872921460596805
"TACC"	"GC"	0.942375824412344
"Moran"	"GC"	0.309490676939826
"Geary"	"GC"	0.309971223750151
"NMBroto"	"GC"	0.896584458958973
"DPCP"	"GC"	0.993764565288332
"TPCP"	"GC"	0.983593974325814
"MMI"	"GC"	0.876497543956124
"PseDNC"	"GC"	0.991531114743242
"PseKNC"	"GC"	0.987384948631601
"PCPseDNC"	"GC"	0.991531114743242
"PCPseTNC"	"GC"	0.989431524872056
"SCPseDNC"	"GC"	0.992399610669229
"SCPseTNC"	"GC"	0.988477724438016
"Mismatch"	"GC"	0.0435755527909646
"Kmer-1"	"GC"	0.994330095178439
"Kmer-2"	"GC"	0.992248555045723
"Kmer-3"	"GC"	0.98833156930936
"Kmer-4"	"GC"	0.984917498154364
"Kmer-5"	"GC"	0.980902631653325
"Kmer-6"	"GC"	0.972670999016563
"Kmer-7"	"GC"	0.934592468872528
"RCKmer-1"	"GC"	1.00000000042188
"RCKmer-2"	"GC"	0.997716780977579
"RCKmer-3"	"GC"	0.996530469972481
"RCKmer-4"	"GC"	0.994682906904336
"RCKmer-5"	"GC"	0.992615617561528
"RCKmer-6"	"GC"	0.989232293386187
"RCKmer-7"	"GC"	0.976592088127237
